Timestamp,Load_North,column,lower_fence,upper_fence,Load_Central,Load_South,Load_National
2023-04-30 01:00:00,7943.0,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 01:30:00,7816.3,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 02:00:00,7801.8,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 02:30:00,8112.3,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 03:00:00,7924.9,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 03:30:00,7774.4,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 04:00:00,7703.0,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 04:30:00,7806.4,Load_North,8115.537499999997,24991.437500000007,,,
2023-04-30 05:00:00,7789.1,Load_North,8115.537499999997,24991.437500000007,,,
2023-05-01 01:30:00,8094.4,Load_North,8115.537499999997,24991.437500000007,,,
2023-05-01 02:00:00,8011.4,Load_North,8115.537499999997,24991.437500000007,,,
2023-05-01 04:30:00,8073.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 01:00:00,8066.9,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 01:30:00,7973.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 02:00:00,7884.5,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 02:30:00,7866.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 03:00:00,7753.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 03:30:00,7801.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-08 04:00:00,7893.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 00:00:00,7844.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 00:30:00,7700.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 01:00:00,7907.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 01:30:00,7263.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 02:00:00,7088.0,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 02:30:00,7065.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 03:00:00,6974.9,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 03:30:00,7048.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 04:00:00,7076.1,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 04:30:00,7227.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 05:00:00,7310.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 05:30:00,7621.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-09 06:00:00,7970.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 01:30:00,7947.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 02:00:00,7561.3,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 02:30:00,7180.9,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 03:00:00,7182.0,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 03:30:00,7161.8,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 04:00:00,6919.1,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 04:30:00,6629.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 05:00:00,6611.5,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 05:30:00,6690.0,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 06:00:00,6999.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 10:30:00,7953.4,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 11:00:00,7703.5,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 13:00:00,7836.2,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 13:30:00,7610.4,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 14:00:00,7563.5,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 14:30:00,7649.1,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 15:00:00,8048.1,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-10 23:30:00,8035.6,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-11 00:00:00,7462.7,Load_North,8115.537499999997,24991.437500000007,,,
2024-02-11 00:30:00,7137.7,Load_North,8115.537499999997,24991.437500000007,,,
